LEARN @ LVL, NAME,TYPE,RANGE,TARGET, CAST s,CD s,DURRATION s, DESCR, INIT MP,FINIT MP ,SP COST,REPLACES
20,Armor Mastery,passive,0,self,0,0,0,with light:  eva +7 and crit rate resist + 15% ; with all mpReg x1.1 and p.def +16,0,0,1700,[Armor Mastery]
20,Weapon Mastery,passive,0,self,0,0,0,with bow: p.Atk +30 and range +200; with dual: p.atk +8 ;With all: p.atk x1.085 and crit dmg +35 and crit rate x1.2;,0,0,3400,[Weapon Mastery]
20,Piercing Stab,physical active,40,enemy,1,3,0,power 314 - only when skill does critical - otherwise 31 - can crit/double - require duals,18,0,1700,[Stab Strike]
20,Precise Shot,physical active,700,enemy,3,6,0,power 279 -can double - require a bow,40,0,1700,[Shot Strike]
20,Sprint,pfysical buff,0,self,0.2,30,15,increase speed +40,10,0,3400,[]
20,Evasion Mastery,passive,0,self,0,0,0,dodge FLOOR 10% - you evade at least 1 attack in 10 no matter how much accuracy the attacker stacks - grants NO evasion points (the evasion budget is armor mastery + the Agility buff + DEX) - auto-granted at the class change so SP is 0 - lvl2 (20%) at 40 and only for a MELEE discipline - lvl3 (30%) is written but unreachable until the 4th class exists,0,0,0,[]
24,Armor Mastery,passive,0,self,0,0,0,with light:  eva +11 and crit rate resist + 15% ; with all mpReg x1.1 and p.def +18,0,0,3200,[Armor Mastery]
24,Weapon Mastery,passive,0,self,0,0,0,with bow: p.Atk +42 and range +200; with dual: p.atk +11 ;With all: p.atk x1.085 and crit dmg +64 and acc +3 and crit rate x1.2;,0,0,6400,[Weapon Mastery]
24,Piercing Stab,physical active,40,enemy,1,3,0,power 427 - only when skill does critical - otherwise 43 - can crit/double - require duals,21,0,3200,[Stab Strike]
24,Precise Shot,physical active,700,enemy,3,6,0,power 379 -can double - require a bow,45,0,3200,[Shot Strike]
28,Evasion Boost,pfysical buff,0,self,0.5,900,30,Increase evasion by +20; Increase skill evasion by x1.25; Increase magic evasion by x1.1; buff cancel resist x1.8; ,20,0,3400,[]
28,Armor Mastery,passive,0,self,0,0,0,with light:  eva +13 and crit rate resist + 15% and speed +7; with all mpReg x1.1 and p.def +20,0,0,6000,[Armor Mastery]
28,Weapon Mastery,passive,0,self,0,0,0,with bow: p.Atk +56 and range +200; with dual: p.atk +14 ;With all: p.atk x1.085 and crit dmg +80 and acc +3 and crit rate x1.2;,0,0,12000,[Weapon Mastery]
28,Piercing Stab,physical active,40,enemy,1,3,0,power 571 - only when skill does critical - otherwise 57 - can crit/double - require duals,24,0,6000,[Stab Strike]
28,Precise Shot,physical active,700,enemy,3,6,0,power 507 -can double - require a bow,53,0,6000,[Shot Strike]
32,Armor Mastery,passive,0,self,0,0,0,with light:  eva +13 and crit rate resist + 15% and speed +7; with all mpReg x1.1 and p.def +22,0,0,11000,[Armor Mastery]
32,Weapon Mastery,passive,0,self,0,0,0,with bow: p.Atk +74 and range +200; with dual: p.atk +17 ;With all: p.atk x1.085 and crit dmg +140 and acc +3 and crit rate x1.2;,0,0,22000,[Weapon Mastery]
32,Piercing Stab,physical active,40,enemy,1,3,0,power 752 - only when skill does critical - otherwise 75 - can crit/double - require duals,28,0,11000,[Stab Strike]
32,Precise Shot,physical active,700,enemy,3,6,0,power 669 -can double - require a bow,34,0,11000,[Shot Strike]
36,Bow Expertise,pfysical buff,0,self,3,2,1200,increase bow attack speed x1.08; requires a bow,5,20,22000,[]
36,Armor Mastery,passive,0,self,0,0,0,with light:  eva +13 and crit rate resist + 15% and speed +7; with all mpReg x1.8 and hpReg x1.2 and p.def +25,0,0,20000,[Armor Mastery]
36,Weapon Mastery,passive,0,self,0,0,0,with bow: p.Atk +96 and range +200; with dual: p.atk +21 ;With all: p.atk x1.085 and crit dmg +165 and acc +3 and crit rate x1.2 and AS x1.05;,0,0,40000,[Weapon Mastery]
36,Piercing Stab,physical active,40,enemy,1,3,0,power 977 - only when skill does critical - otherwise 100 - can crit/double - require duals,30,0,20000,[Stab Strike]
36,Precise Shot,physical active,700,enemy,3,6,0,power 868 -can double - require a bow,67,0,20000,[Shot Strike]
